group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
align=1,0,"[1, 1, 1, 1]",0.805,0.805,0.825
align=1,1,"[1, 1, 1, 1]",0.695,0.695,0.71
align=1,2,"[1, 1, 1, 1]",0.7575,0.7575,0.805
align=0.9,0,"[1, 1000000, 1, 1]",0.88,0.88,0.9925
align=0.9,1,"[1, 1000000, 1, 1]",0.8175,0.8175,0.9675
align=0.9,2,"[1, 1000000, 1, 1]",0.8875,0.8875,0.95
align=0.87,0,"[0, 1, 1, 1]",0.755,0.755,0.745
align=0.87,1,"[0, 1, 1, 1]",0.5975,0.5975,0.5975
align=0.87,2,"[0, 1, 1, 1]",0.72,0.72,0.68
align=0.82,0,"[0, 1000, 1, 1]",0.9,0.9,0.9925
align=0.82,1,"[0, 1000, 1, 1]",0.82,0.82,0.9625
align=0.82,2,"[0, 1000, 1, 1]",0.9025,0.9025,0.945
align=0.95,0,"[1, 10000, 1, 1]",0.8825,0.8825,0.9925
align=0.95,1,"[1, 10000, 1, 1]",0.8175,0.8175,0.965
align=0.95,2,"[1, 10000, 1, 1]",0.8925,0.8925,0.945
