group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
align=0.92,0,"[1, 1, 0, 0]",0.8525,0.8425,0.925
align=0.92,1,"[1, 1, 0, 0]",0.84,0.845,0.91
align=0.92,2,"[1, 1, 0, 0]",0.8375,0.84,0.9475
align=0.76,0,"[0, 1, 0, 0]",0.7825,0.775,0.9275
align=0.76,1,"[0, 1, 0, 0]",0.785,0.785,0.915
align=0.76,2,"[0, 1, 0, 0]",0.745,0.7475,0.9175
align=0.85,0,"[1, 0, 0, 0]",0.725,0.715,0.9275
align=0.85,1,"[1, 0, 0, 0]",0.72,0.72,0.915
align=0.85,2,"[1, 0, 0, 0]",0.735,0.7325,0.945
align=0.9,0,"[1, 512, 0, 0]",0.7825,0.775,0.9275
align=0.9,1,"[1, 512, 0, 0]",0.7875,0.785,0.9225
align=0.9,2,"[1, 512, 0, 0]",0.745,0.7475,0.9225
align=0.94,0,"[1, 4, 0, 0]",0.84,0.825,0.9225
align=0.94,1,"[1, 4, 0, 0]",0.8425,0.8475,0.9125
align=0.94,2,"[1, 4, 0, 0]",0.805,0.8025,0.9475
