group,seed,weights,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
align=1,0,"[1, 1, 1, 1]",0.74,0.74,0.79
align=1,1,"[1, 1, 1, 1]",0.7625,0.7625,0.8625
align=1,2,"[1, 1, 1, 1]",0.825,0.825,0.76
align=0.9,0,"[1, 1000000, 1, 1]",0.935,0.935,0.9525
align=0.9,1,"[1, 1000000, 1, 1]",0.9425,0.9425,0.975
align=0.9,2,"[1, 1000000, 1, 1]",0.87,0.87,0.9925
align=0.87,0,"[0, 1, 1, 1]",0.7075,0.7075,0.7025
align=0.87,1,"[0, 1, 1, 1]",0.7075,0.7075,0.6675
align=0.87,2,"[0, 1, 1, 1]",0.78,0.78,0.6525
align=0.82,0,"[0, 1000, 1, 1]",0.9475,0.9475,0.9575
align=0.82,1,"[0, 1000, 1, 1]",0.94,0.94,0.9775
align=0.82,2,"[0, 1000, 1, 1]",0.8925,0.8925,0.9925
align=0.95,0,"[1, 10000, 1, 1]",0.94,0.94,0.955
align=0.95,1,"[1, 10000, 1, 1]",0.9425,0.9425,0.975
align=0.95,2,"[1, 10000, 1, 1]",0.8725,0.8725,0.9925
